latitude,longitude,year,count
42.489883,2.809221,2018.0,2
42.49366,2.118786,2017.0,2
42.497873,2.013046,2022.0,2
42.5011873,2.7592754,2023.0,3
42.504333,2.037674,2022.0,2
42.511678,2.7908,2018.0,2
42.515386,2.062332,2022.0,2
42.515981,3.104996,2024.0,4
42.519273,2.879877,2022.0,2
42.5203973,2.82160288,2024.0,7
42.526063,3.083424,2016.0,2
42.526063,3.083424,2023.0,3
42.526431,2.832321,2017.0,2
42.527222,3.078691,2023.0,3
42.52906,8.788791,2023.0,4
42.530353,2.950218,2022.0,2
42.53463252161168,2.841367866058002,2024.0,3
42.544016,2.921601,2022.0,2
42.546486,2.388508,2017.0,2
42.54706,9.479663,2021.0,1
42.54775533963,2.9431272345185,2024.0,3
42.547867,9.480954,2023.0,8
42.547989,1.825628,2021.0,2
42.548606,8.796389,2023.0,2
42.5491127,3.021778,2022.0,2
42.550209,3.046709,2022.0,2
42.550419,9.440808,2021.0,1
42.550599,3.044097,2021.0,2
42.55231981531,9.4409606667963,2022.0,3
42.55249492144055,2.9770542672423783,2022.0,3
42.554473,8.762181,2022.0,1
42.554579,8.762064,2022.0,1
42.55868718307553,3.0071933127669093,2024.0,6
42.560426,2.291669,2022.0,2
42.56047,8.979732,2022.0,2
42.56047,8.979732,2023.0,2
42.5615661,3.0321381,2022.0,2
42.561758,2.625316,2021.0,2
42.570724,2.958487,2022.0,2
42.574565,2.071624,2021.0,2
42.577784,2.848341,2021.0,8
42.578429,2.846994,2021.0,1
42.5784639,2.8469928,2021.0,7
42.578575,2.073845,2017.0,2
42.58803,2.370289,2017.0,2
42.593195,9.438498,2022.0,2
42.594669,9.437173,2024.0,4
42.598345,2.975322,2018.0,2
42.60074,9.35969,2023.0,1
42.601531,2.974078,2017.0,2
42.601566,2.172722,2024.0,4
42.605167627194,2.9783902902825,2023.0,4
42.605167627194,2.9783902902825,2024.0,2
42.606292,2.892729,2017.0,2
42.607483,2.811398,2022.0,2
42.60785300000001,2.997168,2024.0,3
42.6097216347,3.02910823721,2023.0,2
42.619188,2.425439,2022.0,2
42.6199044,3.03744028,2022.0,3
42.6228249,3.0370999,2023.0,2
42.624838944566285,2.427899931706023,2024.0,3
42.62491,9.44504,2024.0,2
42.625323470287,2.4288043020064,2023.0,9
42.625609118567,2.767517193779,2024.0,5
42.626217,2.951113,2022.0,2
42.628813,9.467278,2021.0,1
42.631004,9.439001,2019.0,2
42.632116,9.35803,2022.0,2
42.632274,8.939136,2022.0,2
42.63252697,8.9318771,2022.0,1
42.633215,9.435597,2023.0,2
42.634364,2.097853,2021.0,2
42.634403,2.758637,2017.0,2
42.63635,8.935166,2024.0,2
42.63692,8.936832,2022.0,2
42.637473,2.91469,2021.0,2
42.637722,9.021637,2021.0,1
42.6402072,3.0334705,2022.0,4
42.640256,2.87177,2017.0,2
42.640336,2.7627871,2024.0,6
42.6411506,2.8763753,2023.0,10
42.641786,2.878604,2023.0,2
42.645159,2.52947,2017.0,2
42.648643,9.440248,2021.0,2
42.649756,2.586146,2024.0,2
42.655748,9.440757,2021.0,1
42.656738,2.560661,2024.0,3
42.657354,9.439093,2019.0,2
42.657577,9.437065,2022.0,6
42.6585884,2.9277708,2023.0,1
42.65956,2.88401,2023.0,2
42.659679050841,2.8847401015265,2023.0,5
42.661424,2.903535,2020.0,4
42.66213,2.905982,2020.0,4
42.662135,2.90548,2022.0,2
42.662325,2.905466,2020.0,8
42.66338,2.83474,2022.0,2
42.6639,2.8854,2024.0,4
42.663907,2.885406,2024.0,4
42.665713,2.902038,2020.0,6
42.667811,9.440618,2022.0,4
42.668506,2.347455,2022.0,2
42.67060425,2.85780499,2021.0,3
42.671222,2.622605,2017.0,2
42.672771,2.892155,2024.0,3
42.672774,2.892156,2024.0,4
42.673079,9.30191,2022.0,1
42.675068,3.031454,2022.0,6
42.6753706,2.8901259,2023.0,7
42.675666014017,2.6346123411045,2023.0,10
42.680093,2.934959,2017.0,2
42.680766691928,2.8932084539673,2024.0,5
42.680873696583,2.8527096331699,2023.0,6
42.6811585,2.8930631,2023.0,5
42.681694,2.795766,2022.0,2
