code_geo,GEO_OBJECT,FREQ,type_population,annee,valeur_population
04070,COM,A,Population municipale,2016,16186
06049,COM,A,Population municipale,2016,125
05184,COM,A,Population totale,2016,215
06088,COM,A,Population municipale,2016,342637
06131,COM,A,Population municipale,2016,47
04206,COM,A,Population comptée à part,2016,10
14341,COM,A,Population comptée à part,2016,216
14384,COM,A,Population comptée à part,2016,54
14358,COM,A,Population municipale,2016,88
12272,COM,A,Population totale,2016,517
13108,COM,A,Population municipale,2016,15020
12223,COM,A,Population comptée à part,2016,37
14452,COM,A,Population totale,2016,642
13061,COM,A,Population municipale,2016,207
12169,COM,A,Population totale,2016,2175
14431,COM,A,Population totale,2016,9932
13039,COM,A,Population municipale,2016,15608
12269,COM,A,Population comptée à part,2016,5
09138,COM,A,Population totale,2016,221
09072,COM,A,Population totale,2016,32
09061,COM,A,Population totale,2016,519
09321,COM,A,Population comptée à part,2016,5
09161,COM,A,Population totale,2016,616
10177,COM,A,Population totale,2016,160
09113,COM,A,Population totale,2016,532
08494,COM,A,Population totale,2016,486
09153,COM,A,Population comptée à part,2016,6
10050,COM,A,Population municipale,2016,207
09328,COM,A,Population totale,2016,229
10065,COM,A,Population totale,2016,95
16317,COM,A,Population comptée à part,2016,5
14627,COM,A,Population municipale,2016,440
16002,COM,A,Population municipale,2016,529
15122,COM,A,Population municipale,2016,2164
15134,COM,A,Population comptée à part,2016,10
14669,COM,A,Population municipale,2016,212
16237,COM,A,Population totale,2016,224
16171,COM,A,Population municipale,2016,652
15098,COM,A,Population municipale,2016,91
16302,COM,A,Population comptée à part,2016,0
15061,COM,A,Population municipale,2016,273
14639,COM,A,Population municipale,2016,260
17045,COM,A,Population totale,2016,1055
17416,COM,A,Population comptée à part,2016,0
17444,COM,A,Population municipale,2016,1688
16336,COM,A,Population totale,2016,353
17293,COM,A,Population municipale,2016,662
16418,COM,A,Population totale,2016,1537
17242,COM,A,Population totale,2016,856
17100,COM,A,Population comptée à part,2016,16
17192,COM,A,Population totale,2016,808
17132,COM,A,Population municipale,2016,654
18116,COM,A,Population comptée à part,2016,5
17403,COM,A,Population municipale,2016,728
19273,COM,A,Population totale,2016,867
18280,COM,A,Population comptée à part,2016,20
19011,COM,A,Population municipale,2016,1129
19205,COM,A,Population totale,2016,96
21185,COM,A,Population comptée à part,2016,14
18194,COM,A,Population totale,2016,1000
21080,COM,A,Population municipale,2016,685
19213,COM,A,Population comptée à part,2016,15
21088,COM,A,Population totale,2016,293
21139,COM,A,Population totale,2016,237
19002,COM,A,Population comptée à part,2016,6
18231,COM,A,Population totale,2016,717
04050,COM,A,Population totale,2016,29
05167,COM,A,Population comptée à part,2016,0
06116,COM,A,Population comptée à part,2016,3
06035,COM,A,Population municipale,2016,1059
05063,COM,A,Population municipale,2016,484
04216,COM,A,Population municipale,2016,233
05023,COM,A,Population totale,2016,12270
04086,COM,A,Population totale,2016,319
05149,COM,A,Population totale,2016,358
05065,COM,A,Population municipale,2016,2314
03315,COM,A,Population municipale,2016,1352
06100,COM,A,Population totale,2016,234
14167,COM,A,Population comptée à part,2016,69
14195,COM,A,Population municipale,2016,239
14478,COM,A,Population comptée à part,2016,72
13074,COM,A,Population comptée à part,2016,88
14309,COM,A,Population comptée à part,2016,6
14049,COM,A,Population totale,2016,139
14193,COM,A,Population totale,2016,680
14140,COM,A,Population comptée à part,2016,8
13081,COM,A,Population totale,2016,12121
12176,COM,A,Population municipale,2016,11972
14527,COM,A,Population totale,2016,539
14062,COM,A,Population municipale,2016,445
08186,COM,A,Population comptée à part,2016,0
07113,COM,A,Population comptée à part,2016,7
08078,COM,A,Population comptée à part,2016,17
07343,COM,A,Population comptée à part,2016,39
07121,COM,A,Population municipale,2016,203
08313,COM,A,Population totale,2016,135
08476,COM,A,Population totale,2016,422
07207,COM,A,Population municipale,2016,1094
08106,COM,A,Population municipale,2016,76
07121,COM,A,Population comptée à part,2016,1
08143,COM,A,Population comptée à part,2016,0
08209,COM,A,Population municipale,2016,466
10386,COM,A,Population totale,2016,239
12128,COM,A,Population comptée à part,2016,4
10436,COM,A,Population comptée à part,2016,10
11334,COM,A,Population municipale,2016,119
12138,COM,A,Population comptée à part,2016,51
11192,COM,A,Population municipale,2016,792
11145,COM,A,Population municipale,2016,3866
12044,COM,A,Population totale,2016,1052
12027,COM,A,Population municipale,2016,217
12139,COM,A,Population municipale,2016,133
11179,COM,A,Population totale,2016,95
11152,COM,A,Population municipale,2016,131
16246,COM,A,Population municipale,2016,291
15182,COM,A,Population municipale,2016,134
14546,COM,A,Population totale,2016,218
16197,COM,A,Population comptée à part,2016,7
15179,COM,A,Population comptée à part,2016,4
15025,COM,A,Population comptée à part,2016,6
16248,COM,A,Population comptée à part,2016,2
14663,COM,A,Population municipale,2016,2402
15179,COM,A,Population municipale,2016,250
16005,COM,A,Population comptée à part,2016,44
15155,COM,A,Population comptée à part,2016,2
16209,COM,A,Population comptée à part,2016,9
09132,COM,A,Population totale,2016,245
09335,COM,A,Population municipale,2016,37
10111,COM,A,Population totale,2016,111
09092,COM,A,Population totale,2016,47
09070,COM,A,Population comptée à part,2016,12
09340,COM,A,Population comptée à part,2016,4
10170,COM,A,Population municipale,2016,495
09240,COM,A,Population totale,2016,306
09100,COM,A,Population municipale,2016,84
10263,COM,A,Population comptée à part,2016,5
09175,COM,A,Population totale,2016,88
09299,COM,A,Population comptée à part,2016,9
17407,COM,A,Population comptée à part,2016,88
17385,COM,A,Population municipale,2016,6762
17287,COM,A,Population totale,2016,249
17056,COM,A,Population totale,2016,623
17250,COM,A,Population comptée à part,2016,9
17324,COM,A,Population totale,2016,114
17444,COM,A,Population totale,2016,1956
17178,COM,A,Population totale,2016,69
17037,COM,A,Population municipale,2016,629
17425,COM,A,Population totale,2016,2381
17411,COM,A,Population municipale,2016,1323
17358,COM,A,Population totale,2016,315
11266,COM,A,Population totale,2016,5670
11065,COM,A,Population totale,2016,58
12074,COM,A,Population comptée à part,2016,13
11305,COM,A,Population municipale,2016,58
11079,COM,A,Population totale,2016,190
10359,COM,A,Population comptée à part,2016,11
12067,COM,A,Population comptée à part,2016,0
11253,COM,A,Population totale,2016,870
11279,COM,A,Population municipale,2016,2515
10445,COM,A,Population totale,2016,69
11177,COM,A,Population comptée à part,2016,1
10346,COM,A,Population comptée à part,2016,6
21119,COM,A,Population comptée à part,2016,0
21004,COM,A,Population municipale,2016,288
19203,COM,A,Population municipale,2016,1789
19156,COM,A,Population comptée à part,2016,2
19016,COM,A,Population totale,2016,320
19065,COM,A,Population municipale,2016,64
21082,COM,A,Population totale,2016,73
21002,COM,A,Population municipale,2016,287
19038,COM,A,Population comptée à part,2016,52
18126,COM,A,Population comptée à part,2016,38
19204,COM,A,Population municipale,2016,293
18185,COM,A,Population municipale,2016,263
07290,COM,A,Population comptée à part,2016,8
08321,COM,A,Population comptée à part,2016,7
08208,COM,A,Population comptée à part,2016,0
07309,COM,A,Population municipale,2016,1568
08120,COM,A,Population municipale,2016,46
08404,COM,A,Population municipale,2016,202
08139,COM,A,Population comptée à part,2016,14
08175,COM,A,Population totale,2016,195
08004,COM,A,Population municipale,2016,218
07161,COM,A,Population totale,2016,881
08160,COM,A,Population municipale,2016,191
07228,COM,A,Population totale,2016,928
07052,COM,A,Population totale,2016,627
04208,COM,A,Population comptée à part,2016,17
03298,COM,A,Population comptée à part,2016,70
06068,COM,A,Population municipale,2016,387
04183,COM,A,Population municipale,2016,146
04079,COM,A,Population municipale,2016,1399
04022,COM,A,Population comptée à part,2016,7
06150,COM,A,Population municipale,2016,3105
05032,COM,A,Population municipale,2016,144
07061,COM,A,Population municipale,2016,369
07073,COM,A,Population totale,2016,531
04133,COM,A,Population totale,2016,232
14258,COM,A,Population municipale,2016,8214
14396,COM,A,Population totale,2016,1086
13205,ARM,A,Population municipale,2016,46274
13042,COM,A,Population comptée à part,2016,126
13040,COM,A,Population totale,2016,10149
14316,COM,A,Population municipale,2016,241
12226,COM,A,Population municipale,2016,443
12178,COM,A,Population municipale,2016,397
12192,COM,A,Population comptée à part,2016,8
13044,COM,A,Population comptée à part,2016,81
13026,COM,A,Population municipale,2016,16349
14043,COM,A,Population municipale,2016,81
15065,COM,A,Population totale,2016,82
15021,COM,A,Population totale,2016,648
16011,COM,A,Population totale,2016,602
16174,COM,A,Population totale,2016,521
16221,COM,A,Population totale,2016,254
16076,COM,A,Population comptée à part,2016,18
14676,COM,A,Population totale,2016,1027
14569,COM,A,Population totale,2016,257
16290,COM,A,Population comptée à part,2016,4
16255,COM,A,Population comptée à part,2016,5
15070,COM,A,Population comptée à part,2016,4
15218,COM,A,Population totale,2016,71
10002,COM,A,Population comptée à part,2016,7
09115,COM,A,Population municipale,2016,144
10325,COM,A,Population totale,2016,4409
