objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;zD;prF;depPrF;concessionPrF;absF;cumulF;zF;cote;voie;accrochage;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL;latitudeD;longitudeD;latitudeF;longitudeF
TMJ19_347;01/01/2019;A0031;3396;331;57;N;452;330662;0;334;57;N;848;334058;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;74457.0;97;49.34879394333041;6.156861389731404;49.346701469463824;6.1124775982831485
TMJ19_348;01/01/2019;A0031;1877;334;57;N;848;334058;0;336;57;N;725;335935;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;73892.0;112;49.346701469463824;6.1124775982831485;49.36241531782738;6.106938436318125
TMJ19_349;01/01/2019;A0031;7909;336;57;N;725;335935;0;344;57;N;525;343844;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;70468.0;112;49.36241531782738;6.106938436318125;49.43271226676324;6.115261447330646
TMJ19_350;01/01/2019;A0031;4471;344;57;N;525;343844;0;348;57;N;987;348315;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;61581.0;100;49.43271226676324;6.115261447330646;49.4725540302427;6.121498348493194
TMJ19_351;01/01/2019;A0033;6343;0;54;N;0;0;0;6;54;N;20;6343;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;64041.0;170;48.698503914751534;6.120303874760855;48.64664462119616;6.139598892419327
TMJ19_352;01/01/2019;A0033;3955;6;54;N;20;6343;0;10;54;N;0;10298;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;65084.0;104;48.64664462119616;6.139598892419327;48.62859624465708;6.180893644357246
TMJ19_353;01/01/2019;A0033;1027;10;54;N;0;10298;0;11;54;N;0;11325;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;41233.0;;48.62859624465708;6.180893644357246;48.62136716925082;6.18956502355388
TMJ19_354;01/01/2019;A0033;1513;11;54;N;0;11325;0;12;54;N;516;12838;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;55377.0;143;48.62136716925082;6.18956502355388;48.618146201939325;6.208604107567837
TMJ19_355;01/01/2019;A0033;4792;12;54;N;516;12838;0;17;54;N;314;17630;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;54492.0;147;48.618146201939325;6.208604107567837;48.61828780627126;6.273708670437498
TMJ19_357;01/01/2019;A0033;1166;24;54;N;830;25119;0;25;54;N;998;26285;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;37038.0;;48.604037802986824;6.35891393250641;48.60490693804658;6.374631569392483
TMJ19_358;01/01/2019;A0034;14996,4;17;8;N;0;0;0;32;8;N;121,4;14996,4;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;49.694534891012246;4.906512719301816;49.73392103741142;4.724597648851442
TMJ19_359;01/01/2019;A0034;341,6;32;8;N;121,4;14996,4;0;32;8;N;463;15338;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;49.73392103741142;4.724597648851442;49.7353480206168;4.720434483940576
TMJ19_360;01/01/2019;A0034;694;32;8;N;463;15338;0;32;8;N;1157;16032;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;49.7353480206168;4.720434483940576;49.73192517190888;4.720123218888833
TMJ19_361;01/01/2019;A0034;12508;32;8;N;1157;16032;0;45;8;N;514;28540;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;49.73192517190888;4.720123218888833;49.64390644015287;4.628362513597508
TMJ19_362;01/01/2019;A0034;21755;45;8;N;514;28540;0;67;8;N;380;50295;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;49.64390644015287;4.628362513597508;49.52601156632372;4.415749050818705
TMJ19_363;01/01/2019;A0034;10515;100;51;N;0;50295;0;110;51;N;550;60810;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;49.31181513979426;4.147093725511767;49.23550871984217;4.074926898559979
Sanef_128;01/01/2019;A0034;2590;113;51;C;0;60810;0;115;51;C;590;63400;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;14304.0;13,63;49.22359062356741;4.065533557055931;49.20778910251727;4.083777270996714
TMJ19_373;01/01/2019;A0035;110,4;216;67;N;35;14279;0;216;67;N;145,4;14389,4;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;25366.0;;48.85489582311164;8.054042016961786;48.85403595503896;8.053299865959515
TMJ19_374;01/01/2019;A0035;183,6;216;67;N;145,4;14389,4;0;216;67;N;329;14573;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;25366.0;;48.85403595503896;8.053299865959515;48.85264523866155;8.051966521874364
TMJ19_375;01/01/2019;A0035;4852;216;67;N;329;14573;0;221;67;N;206;19425;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;25366.0;;48.85264523866155;8.051966521874364;48.82548522075681;8.001878831406957
TMJ19_376;01/01/2019;A0035;124;221;67;N;206;19425;0;221;67;N;330;19549;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;25366.0;;48.82548522075681;8.001878831406957;48.824572281694046;8.000910026012363
TMJ19_377;01/01/2019;A0035;232;221;67;N;330;19549;0;221;67;N;562;19781;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;25366.0;;48.824572281694046;8.000910026012363;48.822886991803806;7.9990492039506575
TMJ19_378;01/01/2019;A0035;196;221;67;N;562;19781;0;221;67;N;758;19977;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.822886991803806;7.9990492039506575;48.82148837272312;7.997426452944776
TMJ19_379;01/01/2019;A0035;147,6;221;67;N;758;19977;0;221;67;N;905,6;20124,6;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.82148837272312;7.997426452944776;48.820447418969394;7.9961802282518075
TMJ19_380;01/01/2019;A0035;3026,4;221;67;N;905,6;20124,6;0;224;67;N;940;23151;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.820447418969394;7.9961802282518075;48.79878650017247;7.971466035685342
TMJ19_381;01/01/2019;A0035;243,6;224;67;N;940;23151;0;225;67;N;187,6;23394,6;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.79878650017247;7.971466035685342;48.79676805035339;7.970179614565672
TMJ19_382;01/01/2019;A0035;6631,4;225;67;N;187,6;23394,6;0;231;67;N;834;30026;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.79676805035339;7.970179614565672;48.749231764421154;7.918801445444609
TMJ19_383;01/01/2019;A0035;183;231;67;N;834;30026;0;232;67;N;27;30209;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.749231764421154;7.918801445444609;48.74812755961632;7.916959859985027
TMJ19_384;01/01/2019;A0035;140;232;67;N;27;30209;0;232;67;N;167;30349;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;17678.0;;48.74812755961632;7.916959859985027;48.747363523775014;7.9154481592655666
TMJ19_392;01/01/2019;A0035;95,6;236;67;N;418;34586;0;236;67;N;513,6;34681,6;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.718968410130316;7.878251439392489;48.718433156012985;7.877235693380412
TMJ19_393;01/01/2019;A0035;215,7;236;67;N;513,6;34681,6;0;236;67;N;729,3;34897,3;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.718433156012985;7.877235693380412;48.71722327538893;7.874947203129519
TMJ19_394;01/01/2019;A0035;1473,7;236;67;N;729,3;34897,3;0;238;67;N;213;36371;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.71722327538893;7.874947203129519;48.708939965737315;7.859356233495208
TMJ19_395;01/01/2019;A0035;177,3;238;67;N;213;36371;0;238;67;N;390,3;36548,3;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.708939965737315;7.859356233495208;48.707945384568454;7.857470701420907
TMJ19_396;01/01/2019;A0035;410,3;238;67;N;390,3;36548,3;0;238;67;N;800,6;36958,6;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.707945384568454;7.857470701420907;48.705590589345654;7.8531720387567185
TMJ19_397;01/01/2019;A0035;183,6;238;67;N;800,6;36958,6;0;238;67;N;984,2;37142,2;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.705590589345654;7.8531720387567185;48.70452323709817;7.851265559417296
TMJ19_398;01/01/2019;A0035;1255,8;238;67;N;984,2;37142,2;0;240;67;N;246;38398;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.70452323709817;7.851265559417296;48.69732793393081;7.838176754046563
TMJ19_399;01/01/2019;A0035;298,8;240;67;N;246;38398;0;240;67;N;544,8;38696,8;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.69732793393081;7.838176754046563;48.69582028874555;7.834819460340679
TMJ19_400;01/01/2019;A0035;559,2;240;67;N;544,8;38696,8;0;241;67;N;108;39256;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.69582028874555;7.834819460340679;48.692998889467724;7.828534890290906
TMJ19_401;01/01/2019;A0035;185;241;67;N;108;39256;0;241;67;N;293;39441;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.692998889467724;7.828534890290906;48.692067852313336;7.826453222438646
TMJ19_402;01/01/2019;A0035;1449,4;241;67;N;293;39441;0;242;67;N;742,4;40890,4;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.692067852313336;7.826453222438646;48.68293869970622;7.812628874039349
TMJ19_403;01/01/2019;A0035;158,6;242;67;N;742,4;40890,4;0;242;67;N;901;41049;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.68293869970622;7.812628874039349;48.68200196855045;7.811007498174406
TMJ19_404;01/01/2019;A0035;2278;242;67;N;901;41049;0;245;67;N;195;43327;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.68200196855045;7.811007498174406;48.67801843726611;7.78148138548595
TMJ19_405;01/01/2019;A0035;193;245;67;N;195;43327;0;245;67;N;388;43520;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.67801843726611;7.78148138548595;48.67797532942499;7.778846618908261
TMJ19_406;01/01/2019;A0035;218;245;67;N;388;43520;0;245;67;N;606;43738;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;24722.0;;48.67797532942499;7.778846618908261;48.677821177764415;7.775878537562827
TMJ19_407;01/01/2019;A0035;229;245;67;N;606;43738;0;245;67;N;835;43967;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32091.0;209;48.677821177764415;7.775878537562827;48.67752534597056;7.77278336996177
TMJ19_408;01/01/2019;A0035;350,7;245;67;N;835;43967;0;246;67;N;185,7;44317,7;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32091.0;209;48.67752534597056;7.77278336996177;48.676799476658644;7.768141067316948
TMJ19_409;01/01/2019;A0035;2105,4;246;67;N;185,7;44317,7;0;248;67;N;302,1;46423,1;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32091.0;209;48.676799476658644;7.768141067316948;48.67358628335822;7.740240065831022
TMJ19_410;01/01/2019;A0035;277,9;248;67;N;302,1;46423,1;0;248;67;N;580;46701;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32091.0;209;48.67358628335822;7.740240065831022;48.673159402327435;7.736549737026043
TMJ19_411;01/01/2019;A0035;62;248;67;N;580;46701;0;248;67;N;642;46763;0;I;0;ACCROCHE;0.0;;;;;48.673159402327435;7.736549737026043;48.67313391036046;7.73571123119913
TMJ19_412;01/01/2019;A0035;417;300;67;N;0;46763;0;300;67;N;417;47180;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;99077.0;125;48.59991481256761;7.736331857422272;48.597063146656595;7.739904992316462
TMJ19_413;01/01/2019;A0035;210;300;67;N;417;47180;0;300;67;N;627;47390;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;99077.0;125;48.597063146656595;7.739904992316462;48.595143199542065;7.739987800280464
TMJ19_414;01/01/2019;A0035;273;300;67;N;627;47390;0;300;67;N;900;47663;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;99077.0;125;48.595143199542065;7.739987800280464;48.59289627407488;7.738459719093967
TMJ19_415;01/01/2019;A0035;258,7;300;67;N;900;47663;0;301;67;N;177,7;47921,7;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;163581.0;;48.59289627407488;7.738459719093967;48.591588940463986;7.735479775630141
TMJ19_416;01/01/2019;A0035;1026,3;301;67;N;177,7;47921,7;0;302;67;N;200;48948;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;163581.0;;48.591588940463986;7.735479775630141;48.58530762420162;7.725068113591568
TMJ19_421;01/01/2019;A0035;69,1;303;67;N;950;50709;0;304;67;N;23,1;50778,1;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;130586.0;;48.57079160291246;7.730911136159343;48.57018300113592;7.731113851068704
TMJ19_422;01/01/2019;A0035;137,9;304;67;N;23,1;50778,1;0;304;67;N;161;50916;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;130586.0;;48.57018300113592;7.731113851068704;48.56897212066574;7.731523368903248
TMJ19_423;01/01/2019;A0035;314,8;304;67;N;161;50916;0;304;67;N;475,8;51230,8;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;130586.0;;48.56897212066574;7.731523368903248;48.56620969342956;7.732467286352089
TMJ19_424;01/01/2019;A0035;531,2;304;67;N;475,8;51230,8;0;305;67;N;0;51762;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;130586.0;;48.56620969342956;7.732467286352089;48.56147868876499;7.733290402586478
TMJ19_425;01/01/2019;A0035;1008;305;67;N;0;51762;0;306;67;N;0;52770;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;131276.0;97;48.56147868876499;7.733290402586478;48.5524477522809;7.732024836375376
TMJ19_429;01/01/2019;A0035;125,6;306;67;N;780;53550;0;306;67;N;905,6;53675,6;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;121705.0;106;48.546166892268985;7.727506183455062;48.545285273405796;7.726432835519464
TMJ19_430;01/01/2019;A0035;322,3;306;67;N;905,6;53675,6;0;307;67;N;232,9;53997,9;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;121705.0;106;48.545285273405796;7.726432835519464;48.54303014769266;7.7236789266136645
TMJ19_431;01/01/2019;A0035;454,9;307;67;N;232,9;53997,9;0;307;67;N;687,8;54452,8;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;121705.0;106;48.54303014769266;7.7236789266136645;48.53984069130576;7.719812376578443
TMJ19_432;01/01/2019;A0035;77,2;307;67;N;687,8;54452,8;0;307;67;N;765;54530;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;121705.0;106;48.53984069130576;7.719812376578443;48.53930318627868;7.719149053458999
TMJ19_433;01/01/2019;A0035;233;307;67;N;765;54530;0;308;67;N;0;54763;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;121705.0;106;48.53930318627868;7.719149053458999;48.53785875926453;7.716869926939808
TMJ19_434;01/01/2019;A0035;197,8;308;67;N;0;54763;0;308;67;N;197,8;54960,8;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;119539.0;101;48.53785875926453;7.716869926939808;48.536961446874415;7.714548580954785
TMJ19_435;01/01/2019;A0035;227,2;308;67;N;197,8;54960,8;0;308;67;N;425;55188;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;119539.0;101;48.536961446874415;7.714548580954785;48.536317415198205;7.711625218450417
TMJ19_436;01/01/2019;A0035;1103,3;308;67;N;425;55188;0;309;67;N;533,3;56291,3;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;119539.0;101;48.536317415198205;7.711625218450417;48.533116015966;7.697938552727361
TMJ19_437;01/01/2019;A0035;210,7;309;67;N;533,3;56291,3;0;309;67;N;744;56502;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;119539.0;101;48.533116015966;7.697938552727361;48.53177425106927;7.69592962584133
TMJ19_438;01/01/2019;A0035;265;309;67;N;744;56502;0;310;67;N;0;56767;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;119539.0;101;48.53177425106927;7.69592962584133;48.53010732282582;7.693371065581278
TMJ19_446;01/01/2019;A0035;438;315;67;N;0;61725;0;316;67;N;239;62163;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71323.0;;48.52265459566616;7.628325929690185;48.52342743791338;7.622516524908038
TMJ19_447;01/01/2019;A0035;122;316;67;N;239;62163;0;316;67;N;361;62285;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71323.0;;48.52342743791338;7.622516524908038;48.523455667252;7.620858325846907
TMJ19_448;01/01/2019;A0035;101;316;67;N;361;62285;0;316;67;N;462;62386;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71323.0;;48.523455667252;7.620858325846907;48.523450774302745;7.619485744675248
TMJ19_449;01/01/2019;A0035;216;316;67;N;462;62386;0;316;67;N;678;62602;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71323.0;;48.523450774302745;7.619485744675248;48.523721954874226;7.616584110159272
TMJ19_450;01/01/2019;A0035;89;316;67;N;678;62602;0;316;67;N;767;62691;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71323.0;;48.523721954874226;7.616584110159272;48.52389912316441;7.615404052387719
TMJ19_451;01/01/2019;A0035;371;316;67;N;767;62691;0;317;67;N;152;63062;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71159.0;124;48.52389912316441;7.615404052387719;48.52462256909249;7.610483601344352
TMJ19_452;01/01/2019;A0035;732;317;67;N;152;63062;0;317;67;N;884;63794;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71159.0;124;48.52462256909249;7.610483601344352;48.52451261248236;7.600619858193474
TMJ19_453;01/01/2019;A0035;578,1;317;67;N;884;63794;0;318;67;N;459,1;64372,1;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71159.0;124;48.52451261248236;7.600619858193474;48.52265794515559;7.5932934336146545
TMJ19_454;01/01/2019;A0035;342,9;318;67;N;459,1;64372,1;0;319;67;N;0;64715;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71159.0;124;48.52265794515559;7.5932934336146545;48.520942246896496;7.58940205826309
TMJ19_455;01/01/2019;A0035;408,9;319;67;N;0;64715;0;319;67;N;408,9;65123,9;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;44025.0;;48.520942246896496;7.58940205826309;48.520378437462035;7.584053349043893
TMJ19_456;01/01/2019;A0035;2373,1;319;67;N;408,9;65123,9;0;411;67;N;0;67497;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;44025.0;;48.520378437462035;7.584053349043893;48.50326187146977;7.573134439783216
TMJ19_457;01/01/2019;A0035;208;411;67;N;0;67497;0;411;67;N;208;67705;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;44025.0;;48.50326187146977;7.573134439783216;48.50230617084991;7.570713121073597
TMJ19_458;01/01/2019;A0035;234;411;67;N;208;67705;0;411;67;N;442;67939;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;44025.0;;48.50230617084991;7.570713121073597;48.50122201363951;7.567996904981078
TMJ19_459;01/01/2019;A0035;252;411;67;N;442;67939;0;411;67;N;694;68191;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;44025.0;;48.50122201363951;7.567996904981078;48.49993060418361;7.565194826508585
TMJ19_460;01/01/2019;A0035;236;411;67;N;694;68191;0;411;67;N;930;68427;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;47085.0;;48.49993060418361;7.565194826508585;48.49851204734985;7.5628224758234275
TMJ19_461;01/01/2019;A0035;195,1;411;67;N;930;68427;0;412;67;N;125,1;68622,1;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;47085.0;;48.49851204734985;7.5628224758234275;48.497196856483804;7.561084143487937
TMJ19_462;01/01/2019;A0035;6008,9;412;67;N;125,1;68622,1;0;418;67;N;174;74631;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;47085.0;;48.497196856483804;7.561084143487937;48.455940158430025;7.511761732416574
TMJ19_463;01/01/2019;A0035;2357;418;67;N;174;74631;0;420;67;N;531;76988;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;54261.0;161;48.455940158430025;7.511761732416574;48.43679565119015;7.4989310288549635
TMJ19_464;01/01/2019;A0035;260,6;420;67;N;531;76988;0;420;67;N;791,6;77248,6;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;54261.0;161;48.43679565119015;7.4989310288549635;48.434660010764254;7.497490660518513
TMJ19_465;01/01/2019;A0035;200,4;420;67;N;791,6;77248,6;0;420;67;N;992;77449;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;54261.0;161;48.434660010764254;7.497490660518513;48.43303303947796;7.496332572464282
TMJ19_466;01/01/2019;A0035;229,2;420;67;N;992;77449;0;421;67;N;226,2;77678,2;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;51403.0;147;48.43303303947796;7.496332572464282;48.43119242570995;7.494953019878575
TMJ19_467;01/01/2019;A0035;367,8;421;67;N;226,2;77678,2;0;421;67;N;594;78046;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;51403.0;147;48.43119242570995;7.494953019878575;48.42828750509373;7.492598997192266
TMJ19_468;01/01/2019;A0035;3395;421;67;N;594;78046;0;425;67;N;0;81441;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;51403.0;147;48.42828750509373;7.492598997192266;48.399926713000355;7.476744961953601
TMJ19_469;01/01/2019;A0035;165;425;67;N;0;81441;0;425;67;N;165;81606;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;51403.0;147;48.399926713000355;7.476744961953601;48.39848830622486;7.476224261732627
TMJ19_470;01/01/2019;A0035;235;425;67;N;165;81606;0;425;67;N;400;81841;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;51403.0;147;48.39848830622486;7.476224261732627;48.396403428249414;7.475768259390711
TMJ19_497;01/01/2019;A0035;263;446;67;N;737;103662;0;0;68;N;0;103925;0;I;0;ACCROCHE;0.0;;;;;48.22628755640694;7.405587747318242;48.22398367483888;7.404810681203724
TMJ19_501;01/01/2019;A0035;3561;59;68;N;0;105409;0;63;68;N;405;108970;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;88371.0;;48.12311317510191;7.365084771516304;48.09678060028243;7.382247103920331
TMJ19_503;01/01/2019;A0035;2560;66;68;N;600;112172;0;69;68;N;158;114732;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;23545.0;130;48.06811255672939;7.384380982293372;48.04707519527653;7.370701344657857
TMJ19_504;01/01/2019;A0035;6092;69;68;N;158;114732;0;75;68;N;279;120824;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;56980.0;;48.04707519527653;7.370701344657857;47.9926841528784;7.378552773187755
TMJ19_505;01/01/2019;A0035;7760;75;68;N;279;120824;0;83;68;N;153;128584;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;49897.0;164;47.9926841528784;7.378552773187755;47.924274670589625;7.359890885677397
TMJ19_506;01/01/2019;A0035;5691;83;68;N;153;128584;0;88;68;N;928;134275;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;46821.0;164;47.924274670589625;7.359890885677397;47.87617992708539;7.385331375715518
TMJ19_510;01/01/2019;A0035;4804;117;68;N;923;163046;0;122;68;N;760;167850;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;50584.0;69;47.63654351068942;7.500240994747934;47.60130494350274;7.535676800674907
TMJ19_512;01/01/2019;A0035;1602;124;68;N;398;169488;0;126;68;N;0;171090;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32198.0;;47.58888778102187;7.54674132720246;47.577428069152276;7.559355476240747
TMJ19_513;01/01/2019;A0035;303;126;68;N;0;171090;0;126;68;N;303;171393;0;I;0;ACCROCHE;0.0;;;;;47.577428069152276;7.559355476240747;47.57515854898976;7.563116464829034
Aprr_29;01/01/2019;A0036;8424;0;68;C;0;20508;0;8;68;C;424;28932;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;45109.0;25,97;47.747380546678826;7.275776456066732;47.726436761065365;7.168015814588047
Aprr_30;01/01/2019;A0036;11406;8;68;C;424;28932;0;19;68;C;830;40338;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;33910.0;28,66;47.726436761065365;7.168015814588047;47.700828448726774;7.026776462142901
Ip6SYEz_section1_Aprr_30;01/01/2019;A0036;4470;19;68;C;830;40338;0;24;90;C;300;44808;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;33910.0;28,66;47.700828448726774;7.026776462142901;47.67605989061971;6.981780612733446
Aprr_31;01/01/2019;A0036;5820;24;90;C;300;44808;0;30;90;C;120;50628;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;33910.0;28,66;47.67605989061971;6.981780612733446;47.64833653689845;6.91651541001062
Aprr_32;01/01/2019;A0036;3090;30;90;C;120;50628;0;33;90;C;210;53718;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;45824.0;23,75;47.64833653689845;6.91651541001062;47.63644738376917;6.881099129278599
Aprr_33;01/01/2019;A0036;2512;33;90;C;210;53718;0;35;90;C;722;56230;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;55709.0;23,77;47.63644738376917;6.881099129278599;47.62014554704764;6.858985209558391
Aprr_34;01/01/2019;A0036;3963;35;90;C;722;56230;0;39;90;C;685;60193;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;70784.0;19,67;47.62014554704764;6.858985209558391;47.58509465440018;6.855723871393512
Aprr_35;01/01/2019;A0036;4045;39;90;C;685;60193;0;43;90;C;730;64238;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;62607.0;21,31;47.58509465440018;6.855723871393512;47.549894072224575;6.864204772482689
Ip6SYEz_section1_Aprr_35;01/01/2019;A0036;2790;43;90;C;730;64238;0;46;25;C;520;67028;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;62607.0;21,31;47.549894072224575;6.864204772482689;47.52545843300166;6.856508472894246
Aprr_36;01/01/2019;A0036;2251;46;25;C;520;67028;0;48;25;C;771;69279;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;64948.0;20,88;47.52545843300166;6.856508472894246;47.509282882167305;6.839806191996214
Aprr_37;01/01/2019;A0036;1797;48;25;C;771;69279;0;50;25;C;568;71076;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;56193.0;21,78;47.509282882167305;6.839806191996214;47.500699735993486;6.819813409270957
Aprr_38;01/01/2019;A0036;2298;50;25;C;568;71076;0;52;25;C;866;73374;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;43573.0;13,51;47.500699735993486;6.819813409270957;47.48409553722117;6.8042438597474355
Aprr_39;01/01/2019;A0036;4334;52;25;C;866;73374;0;57;25;C;200;77708;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;35973.0;29,3;47.48409553722117;6.8042438597474355;47.460051275139634;6.760734085444004
Aprr_40;01/01/2019;A0036;15973;57;25;C;200;77708;0;73;25;C;173;93681;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;26305.0;29,01;47.460051275139634;6.760734085444004;47.41622786426799;6.58130945608751
