objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;zD;prF;depPrF;concessionPrF;absF;cumulF;zF;cote;voie;accrochage;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL;latitudeD;longitudeD;latitudeF;longitudeF
Area_19;01/01/2019;A0410;7205;159;74;C;85;19585;0;166;74;C;290;26790;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;27106.0;5,79;46.077149269738236;6.290443377569603;46.12804352013643;6.324763877123224
Atmb_15;01/01/2019;A0411;953;0;74;C;0;0;0;0;74;C;953;953;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;30750.0;1,54;46.18173517593342;6.228395166052946;46.18415035239457;6.216464708449389
Atmb_16;01/01/2019;A0411;1186;0;74;C;953;953;0;2;74;C;139;2139;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;18507.0;1,01;46.18415035239457;6.216464708449389;46.18837809067384;6.2023304010373765
CONTINUITE_153;01/01/2019;A0411;14;2;74;C;139;2139;0;2;74;C;153;2153;0;I;0;ACCROCHE;;;;;;46.18837809067384;6.2023304010373765;46.18844375176614;6.202168661696469
Area_43;01/01/2019;A0430;11220;125;73;C;0;0;0;136;73;C;220;11220;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;19164.0;5,49;45.56517919128147;6.216149621051763;45.62465205925746;6.322033658790463
Area_44;01/01/2019;A0430;3779;136;73;C;220;11220;0;139;73;C;999;14999;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;17817.0;4,75;45.62465205925746;6.322033658790463;45.65016085992856;6.346078132844421
CONTINUITE_154;01/01/2019;A0430;1;139;73;C;999;14999;0;139;73;C;1000;15000;0;I;0;ACCROCHE;;;;;;45.65016085992856;6.346078132844421;45.65016411148341;6.346090023822723
Aprr_95;01/01/2019;A0432;11500;0;1;C;0;0;0;11;1;C;500;11500;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;22810.0;16,2;45.867419992413;4.905167995771136;45.831875250849734;5.0266519437736426
Aprr_96;01/01/2019;A0432;3980;11;1;C;500;11500;0;15;1;C;480;15480;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32843.0;17,3;45.831875250849734;5.0266519437736426;45.80942348988278;5.062835712782194
w0vIxVu_section1_Aprr_96;01/01/2019;A0432;2845;15;1;C;480;15480;0;18;69;C;325;18325;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32843.0;17,3;45.80942348988278;5.062835712782194;45.786932061328436;5.079983620875256
w0vIxVu_section2_Aprr_96;01/01/2019;A0432;2363;18;69;C;325;18325;0;20;38;C;688;20688;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32843.0;17,3;45.786932061328436;5.079983620875256;45.7660924799225;5.085315200069186
Aprr_97;01/01/2019;A0432;13;20;38;C;688;20688;0;20;38;C;701;20701;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;23561.0;26,63;45.7660924799225;5.085315200069186;45.7659859725798;5.085380296682974
w0vIxVu_section1_Aprr_97;01/01/2019;A0432;1024;20;38;C;701;20701;0;21;69;C;725;21725;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;23561.0;26,63;45.7659859725798;5.085380296682974;45.75719851211329;5.0907100561321945
w0vIxVu_section2_Aprr_97;01/01/2019;A0432;2078;21;69;C;725;21725;0;23;38;C;803;23803;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;23561.0;26,63;45.75719851211329;5.0907100561321945;45.73930932405121;5.0956949382520325
w0vIxVu_section3_Aprr_97;01/01/2019;A0432;6123;23;38;C;803;23803;0;29;69;C;926;29926;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;23561.0;26,63;45.73930932405121;5.0956949382520325;45.69326427051458;5.077601674971049
Aprr_98;01/01/2019;A0432;1474;29;69;C;926;29926;0;31;69;C;400;31400;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;22713.0;23,34;45.69326427051458;5.077601674971049;45.689377828043924;5.060833771565388
CONTINUITE_155;01/01/2019;A0432;600;31;69;C;400;31400;0;31;69;C;1000;32000;0;I;0;ACCROCHE;;;;;;45.689377828043924;5.060833771565388;45.68470888824279;5.055512592640285
Area_24;01/01/2019;A0432;1800;32;69;C;0;32000;0;33;69;C;800;33800;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;36669.0;5,34;45.68470888824279;5.055512592640285;45.67081238429101;5.046925016279553
TMJ19_807;01/01/2019;A0450;200;0;69;N;0;0;0;0;69;N;200;200;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;57196.0;72;45.69670468430213;4.833851519620393;45.69572092191516;4.831685874801431
TMJ19_808;01/01/2019;A0450;5109;0;69;N;200;200;0;5;69;N;613;5309;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;57196.0;72;45.69572092191516;4.831685874801431;45.6724232686217;4.775045872184418
TMJ19_809;01/01/2019;A0450;313;5;69;N;613;5309;0;5;69;N;926;5622;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;57196.0;72;45.6724232686217;4.775045872184418;45.671341673979285;4.771180159023951
TMJ19_810;01/01/2019;A0450;2040;5;69;N;926;5622;0;7;69;N;972;7662;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;57196.0;72;45.671341673979285;4.771180159023951;45.659941028162;4.751958692670052
Aprr_108;01/01/2019;A0466;4000;0;69;C;0;0;0;4;69;C;0;4000;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;9232.0;13,76;45.92572870554352;4.759122805556947;45.90201649557424;4.734037864186854
CONTINUITE_52;01/01/2019;A0466;1000;4;69;C;0;4000;0;4;69;C;1000;5000;0;I;0;ACCROCHE;;;;;;45.90201649557424;4.734037864186854;45.89219813164453;4.733708785823306
CONTINUITE_60;01/01/2019;A0480;12434;0;38;C;0;0;0;12;38;C;466;12434;0;I;0;ACCROCHE;;;;;;45.217782377414515;5.67612279644528;45.115550033802435;5.68392244224115
TMJ19_811;01/01/2019;A0480;897;13;38;N;0;12434;0;13;38;N;897;13331;0;I;0;ACCROCHE;0.0;;;;;45.1103927826399;5.681474887085306;45.10345556490019;5.686127455290774
Escota_7;01/01/2019;A0500;820;0;6;C;0;0;0;0;6;C;820;820;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;18759.0;4,18;43.7452650113761;7.366473564492978;43.745143845572706;7.376412049467883
Escota_8;01/01/2019;A0500;2143;0;6;C;820;820;0;2;6;C;963;2963;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;19127.0;5,25;43.745143845572706;7.376412049467883;43.73304744293804;7.389419162718177
TMJ19_815;01/01/2019;A0501;3;2;13;N;589;2589;0;2;13;N;592;2592;0;I;0;ACCROCHE;0.0;;;;;43.30347961697143;5.5702033912105176;43.303493255916074;5.570235425101462
CONTINUITE_156;01/01/2019;A0501;2783;2;13;N;592;2592;0;5;13;C;375;5375;0;I;0;ACCROCHE;;;;;;43.303493255916074;5.570235425101462;43.32150957627617;5.594938143014705
CONTINUITE_157;01/01/2019;A0507;4357;0;13;N;0;0;0;4;13;N;347;4357;0;I;0;ACCROCHE;;;;;;43.3414992169728;5.376217575982028;43.326456349371234;5.420668281254291
TMJ19_818;01/01/2019;A0507;4965;4;13;N;347;4357;0;9;13;N;305;9322;0;I;0;ACCROCHE;0.0;;;;;43.326456349371234;5.420668281254291;43.28590396623165;5.429575748691616
TMJ19_819;01/01/2019;A0515;1307;0;13;N;0;0;0;2;13;N;262;1307;0;I;0;ACCROCHE;0.0;;;;;43.42844046207132;5.388075246283357;43.42814403553958;5.403506714042389
Escota_23;01/01/2019;A0520;2900;0;13;C;0;0;0;2;13;C;900;2900;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;17725.0;1,51;43.35073390236812;5.6200631585012735;43.367329435054;5.645634286001915
TMJ19_827;01/01/2019;A0552;18;0;13;N;1620;1620;0;0;13;N;1638;1638;0;I;0;ACCROCHE;0.0;;;;;43.39911093839713;5.290073382691014;43.399006999760445;5.290013210521529
TMJ19_828;01/01/2019;A0557;1320;0;13;N;0;0;0;1;13;N;320;1320;0;I;0;ACCROCHE;0.0;;;;;43.32104346138118;5.375211373601662;43.314755962971525;5.365369010504923
Asf_80;01/01/2019;A0620;724;0;31;C;0;0;0;0;31;C;724;724;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71122.0;2,8;43.65257001903712;1.4243079368141964;43.64662416335469;1.421559247456923
TMJ19_831;01/01/2019;A0620;2950;0;31;C;724;724;0;3;31;N;626;3674;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;131435.0;647;43.64662416335469;1.421559247456923;43.621434431553205;1.4177472899749637
TMJ19_832;01/01/2019;A0620;1292,5;3;31;N;626;3674;0;4;31;N;948,5;4966,5;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;102889.0;224;43.621434431553205;1.4177472899749637;43.61065882696358;1.4150179113620769
gafh7Fc_section1_Asf_80;01/01/2019;A0620;12847,5;4;31;N;948,5;4966,5;0;17;31;N;777;17814;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71122.0;2,8;43.61065882696358;1.4150179113620769;43.56009462268396;1.4893864764887286
gafh7Fc_section2_Asf_80;01/01/2019;A0620;1804;17;31;N;777;17814;0;19;31;C;581;19618;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;71122.0;2,8;43.56009462268396;1.4893864764887286;43.54600065134593;1.4999941852420358
TMJ19_853;01/01/2019;A0621;3990;0;31;N;0;0;0;3;31;N;992;3990;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;105254.0;901;43.623755271362505;1.4193572088433606;43.632485713451224;1.3797615267411218
TMJ19_854;01/01/2019;A0623;415;0;31;N;0;0;0;0;31;N;415;415;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;30231.0;40;43.55811275759433;1.4926878344475467;43.557629728840055;1.4885028505468592
